state,old_label,new_label,n,action
TN,(see action),INACTIVE / (none) / Inactive - Terminated,6537,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Revoked (Revenue),3,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Revoked (Administrative),219,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Withdrawn,762,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Merged,365,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Cancelled,1558,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Expired,42,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Revoked (Labor & Workforce Dept),149,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Converted,246,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / DISSOLVED / Inactive - Dissolved (No Agent),27,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Revoked (No Agent),26,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Inactive - Void Filing Error,241,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,(see action),INACTIVE / (none) / Deleted,2,"stale GOOD_STANDING on INACTIVE entity: sub_status -> DISSOLVED if details say dissolved, else none"
TN,INACTIVE / GOOD_STANDING / Deleted,,2,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Cancelled,,1558,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Converted,,246,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Dissolved (Administrative),,2923,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Dissolved (No Agent),,27,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Expired,,42,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Merged,,365,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Revoked (Administrative),,219,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Revoked (Labor & Workforce Dept),,149,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Revoked (No Agent),,26,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Revoked (Revenue),,3,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Terminated,,6537,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Void Filing Error,,241,ORIGINAL conflict row (folded into cleaned label above)
TN,INACTIVE / GOOD_STANDING / Inactive - Withdrawn,,762,ORIGINAL conflict row (folded into cleaned label above)
VT,(see action),ACTIVE / PENDING_INACTIVE / Pending Withdrawal,1,status UNKNOWN->ACTIVE (pending inactivation)
VT,UNKNOWN / PENDING_INACTIVE / Pending Withdrawal,,1,ORIGINAL conflict row (folded into cleaned label above)
WI,INACTIVE / PENDING_ACTIVE / Registered,INACTIVE / PENDING_ACTIVE / Registered,29765,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
WY,(see action),INACTIVE / (none) / INACTIVE,90647,"WY assumed-inactive override (entity dropped from bulk feed >30d): sub_status cleared, status_details ACTIVE->INACTIVE"
WY,INACTIVE / GOOD_STANDING / ACTIVE,,85642,ORIGINAL conflict row (folded into cleaned label above)
